cache_size,staging_slots,run_idx,prompt_idx,elapsed_ms,wall_ms,token_count,ms_per_token,tokens_per_sec,tokens_per_min,peak_mem_mb,curr_mem_mb,reserved_mb,input_hits,input_misses,input_evictions,input_puts,input_skipped_cache,input_hit_rate,input_miss_rate,input_eviction_rate,output_hits,output_misses,output_evictions,output_puts,output_skipped_cache,output_hit_rate,output_miss_rate,output_eviction_rate
2,1,0,0,45735.1328125,45737.015507000026,64,714.6114501953125,1.3993618486335297,83.96171091801179,990.0458984375,877.57470703125,4842.0,116,1124,84,562,476,0.0935483870967742,0.9064516129032258,0.1494661921708185,116,1124,84,562,476,0.0935483870967742,0.9064516129032258,0.1494661921708185
2,1,0,1,17281.333984375,17280.964998999993,26,664.6666917067307,1.5045134839421554,90.27080903652933,989.9912109375,877.57470703125,4942.0,152,1548,118,774,654,0.08941176470588236,0.9105882352941177,0.1524547803617571,152,1548,118,774,654,0.08941176470588236,0.9105882352941177,0.1524547803617571
2,1,0,2,37483.6953125,37482.843171000015,64,585.6827392578125,1.7074090338861918,102.4445420331715,977.484375,877.57470703125,4942.0,246,2510,199,1255,1054,0.08925979680696662,0.9107402031930334,0.15856573705179283,246,2510,199,1255,1054,0.08925979680696662,0.9107402031930334,0.15856573705179283
2,1,1,0,37110.44921875,37109.60909800008,64,579.8507690429688,1.7245816568467756,103.47489941080653,990.0458984375,877.57470703125,4962.0,356,3468,272,1734,1460,0.09309623430962342,0.9069037656903766,0.1568627450980392,356,3468,272,1734,1460,0.09309623430962342,0.9069037656903766,0.1568627450980392
2,1,1,1,18927.630859375,18927.22699700005,31,610.5687373991935,1.6378172329288356,98.26903397573014,990.0615234375,877.57470703125,4962.0,410,3954,307,1977,1668,0.09395050412465628,0.9060494958753437,0.15528578654527062,410,3954,307,1977,1668,0.09395050412465628,0.9060494958753437,0.15528578654527062
2,1,1,2,36684.8046875,36683.97608700002,64,573.2000732421875,1.744591542606942,104.67549255641653,977.484375,877.57470703125,4962.0,482,4938,399,2469,2068,0.08892988929889299,0.911070110701107,0.16160388821385177,482,4938,399,2469,2068,0.08892988929889299,0.911070110701107,0.16160388821385177
2,1,2,0,37348.7421875,37347.89842999999,64,583.5740966796875,1.7135784567711554,102.81470740626932,992.8798828125,877.57470703125,4962.0,602,5886,467,2943,2474,0.09278668310727498,0.907213316892725,0.15868161739721373,602,5886,467,2943,2474,0.09278668310727498,0.907213316892725,0.15868161739721373
2,1,2,1,36992.5390625,36991.70504400002,64,578.0084228515625,1.7300785948180006,103.80471568908004,990.0615234375,877.57470703125,4964.0,694,6862,549,3431,2880,0.0918475383800953,0.9081524616199047,0.16001165840862722,694,6862,549,3431,2880,0.0918475383800953,0.9081524616199047,0.16001165840862722
2,1,2,2,36942.6640625,36941.839060000006,64,577.2291259765625,1.7324143134811314,103.94485880886788,980.484375,877.57470703125,4964.0,768,7844,640,3922,3280,0.08917789131444497,0.910822108685555,0.1631820499745028,768,7844,640,3922,3280,0.08917789131444497,0.910822108685555,0.1631820499745028
2,1,0,0,37101.43359375,37100.601385,64,579.7098999023438,1.7250007291033966,103.5000437462038,994.0458984375,881.57470703125,4882.0,108,1132,88,566,476,0.08709677419354839,0.9129032258064517,0.15547703180212014,108,1132,88,566,476,0.08709677419354839,0.9129032258064517,0.15547703180212014
2,1,0,1,17973.90625,17973.52153999998,30,599.1302083333334,1.6690862622030198,100.14517573218119,993.9560546875,881.57470703125,4982.0,164,1600,120,800,678,0.09297052154195011,0.9070294784580499,0.15,164,1600,120,800,678,0.09297052154195011,0.9070294784580499,0.15
2,1,0,2,36946.125,36945.29255400005,64,577.283203125,1.7322520291370205,103.93512174822123,981.484375,881.57470703125,4982.0,246,2574,207,1287,1078,0.08723404255319149,0.9127659574468086,0.16083916083916083,246,2574,207,1287,1078,0.08723404255319149,0.9127659574468086,0.16083916083916083
2,1,1,0,37016.5625,37015.727105999984,64,578.3837890625,1.7289557883717592,103.73734730230555,994.0458984375,881.57470703125,4982.0,344,3544,286,1772,1484,0.08847736625514403,0.911522633744856,0.1613995485327314,344,3544,286,1772,1484,0.08847736625514403,0.911522633744856,0.1613995485327314
2,1,1,1,13157.349609375,13157.084342999951,21,626.5404575892857,1.5960661245207683,95.7639674712461,993.9560546875,881.57470703125,4982.0,384,3884,308,1942,1632,0.08997188378631678,0.9100281162136832,0.15859938208032956,384,3884,308,1942,1632,0.08997188378631678,0.9100281162136832,0.15859938208032956
2,1,1,2,37699.9375,37699.07609400002,64,589.0615234375,1.6976155464448714,101.85693278669228,981.484375,881.57470703125,4982.0,470,4854,393,2427,2032,0.08827948910593539,0.9117205108940646,0.1619283065512979,470,4854,393,2427,2032,0.08827948910593539,0.9117205108940646,0.1619283065512979
2,1,2,0,37076.8984375,37076.06178399999,64,579.3265380859375,1.7261422259438417,103.5685335566305,994.0458984375,881.57470703125,5002.0,578,5814,467,2907,2438,0.09042553191489362,0.9095744680851063,0.1606467148262814,578,5814,467,2907,2438,0.09042553191489362,0.9095744680851063,0.1606467148262814
2,1,2,1,21963.58984375,21963.112043000023,37,593.6105363175676,1.6846062170719687,101.07637302431812,993.9560546875,881.57470703125,5022.0,634,6394,513,3197,2682,0.09021058622652248,0.9097894137734776,0.16046293400062558,634,6394,513,3197,2682,0.09021058622652248,0.9097894137734776,0.16046293400062558
2,1,2,2,36977.5,36976.68147299998,64,577.7734375,1.730782232438645,103.8469339463187,981.484375,881.57470703125,5022.0,724,7360,596,3680,3082,0.08955962394854032,0.9104403760514597,0.16195652173913044,724,7360,596,3680,3082,0.08955962394854032,0.9104403760514597,0.16195652173913044
2,2,0,0,14912.306640625,14911.996131000024,23,648.3611582880435,1.5423502583659339,92.54101550195602,994.0458984375,881.57470703125,4856.0,42,542,39,271,230,0.07191780821917808,0.928082191780822,0.14391143911439114,42,542,39,271,230,0.07191780821917808,0.928082191780822,0.14391143911439114
2,2,0,1,16714.72265625,16714.378893999994,26,642.8739483173077,1.555514891554484,93.33089349326904,993.9560546875,881.57470703125,4956.0,94,950,65,475,408,0.09003831417624521,0.9099616858237548,0.1368421052631579,94,950,65,475,408,0.09003831417624521,0.9099616858237548,0.1368421052631579
2,2,0,2,38804.98828125,38804.14391800013,64,606.3279418945312,1.6492724990957892,98.95634994574735,981.484375,881.57470703125,4958.0,180,1920,150,960,808,0.08571428571428572,0.9142857142857143,0.15625,180,1920,150,960,808,0.08571428571428572,0.9142857142857143,0.15625
2,2,1,0,37884.640625,37883.78575999991,64,591.947509765625,1.689338976011469,101.36033856068813,994.0458984375,881.57470703125,4982.0,268,2900,234,1450,1214,0.0845959595959596,0.9154040404040404,0.16137931034482758,268,2900,234,1450,1214,0.0845959595959596,0.9154040404040404,0.16137931034482758
2,2,1,1,17389.888671875,17389.540190999924,28,621.0674525669643,1.6101310668701942,96.60786401221165,994.0615234375,881.57470703125,4982.0,318,3342,265,1671,1404,0.08688524590163935,0.9131147540983606,0.15858767205266308,318,3342,265,1671,1404,0.08688524590163935,0.9131147540983606,0.15858767205266308
2,2,1,2,39317.26953125,39316.38397400002,64,614.3323364257812,1.6277834336672787,97.66700602003672,981.484375,881.57470703125,4982.0,404,4312,350,2156,1804,0.08566581849024597,0.914334181509754,0.16233766233766234,404,4312,350,2156,1804,0.08566581849024597,0.914334181509754,0.16233766233766234
2,2,2,0,39045.0625,39044.18980900005,64,610.0791015625,1.6391317083946273,98.34790250367763,994.0458984375,881.57470703125,5002.0,496,5288,432,2644,2210,0.08575380359612725,0.9142461964038727,0.16338880484114976,496,5288,432,2644,2210,0.08575380359612725,0.9142461964038727,0.16338880484114976
2,2,2,1,18720.875,18720.47671900009,29,645.5474137931035,1.54907289322748,92.9443735936488,993.9560546875,881.57470703125,5002.0,540,5752,468,2876,2406,0.08582326764144946,0.9141767323585506,0.1627260083449235,540,5752,468,2876,2406,0.08582326764144946,0.9141767323585506,0.1627260083449235
2,2,2,2,38564.47265625,38563.60215000018,64,602.5698852539062,1.6595585416264667,99.573512497588,981.484375,881.57470703125,5002.0,630,6718,551,3359,2806,0.08573761567773544,0.9142623843222646,0.16403691574873475,630,6718,551,3359,2806,0.08573761567773544,0.9142623843222646,0.16403691574873475
4,1,0,0,34533.0859375,34532.32543199988,64,539.5794677734375,1.8532951302362883,111.1977078141773,1279.0458984375,1174.07470703125,5102.0,216,1024,176,512,332,0.17419354838709677,0.8258064516129032,0.34375,216,1024,176,512,332,0.17419354838709677,0.8258064516129032,0.34375
4,1,0,1,17614.7265625,17614.35633100018,31,568.2169858870968,1.759891071258291,105.59346427549745,1280.4560546875,1171.57470703125,5222.0,326,1454,245,727,478,0.18314606741573033,0.8168539325842696,0.33700137551581844,326,1454,245,727,478,0.18314606741573033,0.8168539325842696,0.33700137551581844
4,1,0,2,35223.62890625,35222.83852400005,64,550.3692016601562,1.816962135569285,109.01772813415711,1265.484375,1173.57470703125,5222.0,478,2358,425,1179,750,0.16854724964739068,0.8314527503526093,0.3604749787955895,478,2358,425,1179,750,0.16854724964739068,0.8314527503526093,0.3604749787955895
4,1,1,0,13551.72265625,13551.4458319999,23,589.2053328804348,1.6972012033756088,101.83207220253652,1279.0458984375,1175.07470703125,5222.0,562,2686,475,1343,864,0.1730295566502463,0.8269704433497537,0.3536857781087118,562,2686,475,1343,864,0.1730295566502463,0.8269704433497537,0.3536857781087118
4,1,1,1,14032.7587890625,14032.470903000103,24,584.6982828776041,1.7102837981300036,102.61702788780022,1281.4912109375,1172.57470703125,5222.0,644,3032,530,1516,982,0.17519042437431992,0.8248095756256801,0.3496042216358839,644,3032,530,1516,982,0.17519042437431992,0.8248095756256801,0.3496042216358839
4,1,1,2,35261.8125,35261.02274300001,64,550.9658203125,1.8149946205969985,108.89967723581991,1266.984375,1171.57470703125,5222.0,796,3936,710,1968,1254,0.16821639898562976,0.8317836010143702,0.36077235772357724,796,3936,710,1968,1254,0.16821639898562976,0.8317836010143702,0.36077235772357724
4,1,2,0,13366.662109375,13366.393711,23,581.1592221467391,1.7206988410269195,103.24193046161517,1280.8798828125,1173.07470703125,5222.0,876,4268,762,2134,1368,0.1702954898911353,0.8297045101088647,0.3570759137769447,876,4268,762,2134,1368,0.1702954898911353,0.8297045101088647,0.3570759137769447
4,1,2,1,13963.9150390625,13963.62804499995,24,581.8297932942709,1.718715699204891,103.12294195229346,1279.4912109375,1175.07470703125,5222.0,950,4622,821,2311,1486,0.17049533381191673,0.8295046661880833,0.35525746430116834,950,4622,821,2311,1486,0.17049533381191673,0.8295046661880833,0.35525746430116834
4,1,2,2,34369.0390625,34368.279393999954,64,537.0162353515625,1.862141094012439,111.72846564074634,1267.484375,1174.57470703125,5222.0,1126,5502,989,2751,1758,0.16988533494266747,0.8301146650573326,0.3595056343147946,1126,5502,989,2751,1758,0.16988533494266747,0.8301146650573326,0.3595056343147946
4,1,0,0,33241.6875,33240.944451999894,64,519.4013671875,1.9252933534135415,115.5176012048125,1280.0458984375,1174.57470703125,5102.0,232,1008,168,504,332,0.1870967741935484,0.8129032258064516,0.3333333333333333,232,1008,168,504,332,0.1870967741935484,0.8129032258064516,0.3333333333333333
4,1,0,1,13901.8369140625,13901.560367999991,23,604.4276919157609,1.654457618959275,99.2674571375565,1280.0615234375,1173.57470703125,5242.0,312,1340,220,670,446,0.18886198547215496,0.8111380145278451,0.3283582089552239,312,1340,220,670,446,0.18886198547215496,0.8111380145278451,0.3283582089552239
4,1,0,2,34726.7109375,34725.93569200012,64,542.6048583984375,1.842961751119624,110.57770506717743,1267.484375,1175.07470703125,5242.0,462,2246,401,1123,718,0.1706056129985229,0.829394387001477,0.3570792520035619,462,2246,401,1123,718,0.1706056129985229,0.829394387001477,0.3570792520035619
4,1,1,0,34362.56640625,34361.79630800006,64,536.9151000976562,1.8624918535874966,111.7495112152498,1281.5458984375,1174.07470703125,5242.0,670,3106,553,1553,996,0.1774364406779661,0.8225635593220338,0.356084996780425,670,3106,553,1553,996,0.1774364406779661,0.8225635593220338,0.356084996780425
4,1,1,1,15544.5302734375,15544.217464999974,27,575.7233434606482,1.7369453772519334,104.216722635116,1280.5263671875,1173.57470703125,5282.0,752,3500,620,1750,1126,0.17685794920037629,0.8231420507996237,0.35428571428571426,752,3500,620,1750,1126,0.17685794920037629,0.8231420507996237,0.35428571428571426
4,1,1,2,34255.828125,34255.064530000025,64,535.247314453125,1.8682952216616424,112.09771329969854,1267.984375,1174.07470703125,5282.0,894,4414,805,2207,1398,0.16842501883948757,0.8315749811605124,0.3647485274127775,894,4414,805,2207,1398,0.16842501883948757,0.8315749811605124,0.3647485274127775
4,1,2,0,34479.93359375,34479.16279099991,64,538.7489624023438,1.856152066708184,111.36912400249103,1283.9130859375,1173.07470703125,5282.0,1066,5310,975,2655,1676,0.16718946047678795,0.832810539523212,0.3672316384180791,1066,5310,975,2655,1676,0.16718946047678795,0.832810539523212,0.3672316384180791
4,1,2,1,14387.2421875,14386.947490000011,25,575.4896875,1.7376505986477822,104.25903591886693,1279.4560546875,1173.57470703125,5282.0,1146,5674,1035,2837,1798,0.16803519061583577,0.8319648093841642,0.36482199506520974,1146,5674,1035,2837,1798,0.16803519061583577,0.8319648093841642,0.36482199506520974
4,1,2,2,35034.57421875,35033.7890589999,64,547.4152221679688,1.8267668846321563,109.60601307792938,1267.484375,1171.57470703125,5282.0,1300,6576,1214,3288,2070,0.16505840528186896,0.834941594718131,0.36922141119221413,1300,6576,1214,3288,2070,0.16505840528186896,0.834941594718131,0.36922141119221413
4,2,0,0,13963.671875,13963.386653000043,23,607.1161684782609,1.6471312277953394,98.82787366772037,1280.0458984375,1173.57470703125,5076.0,94,490,73,245,168,0.16095890410958905,0.839041095890411,0.2979591836734694,94,490,73,245,168,0.16095890410958905,0.839041095890411,0.2979591836734694
4,2,0,1,17493.634765625,17493.264631999864,30,583.1211588541667,1.7149094743277717,102.8945684596663,1279.9912109375,1176.07470703125,5156.0,216,892,132,446,310,0.19494584837545126,0.8050541516245487,0.29596412556053814,216,892,132,446,310,0.19494584837545126,0.8050541516245487,0.29596412556053814
4,2,0,2,36339.62890625,36338.81000999986,64,567.8067016601562,1.761162728576811,105.66976371460866,1269.984375,1172.57470703125,5158.0,350,1814,321,907,582,0.16173752310536044,0.8382624768946395,0.3539140022050717,350,1814,321,907,582,0.16173752310536044,0.8382624768946395,0.3539140022050717
4,2,1,0,10914.78515625,10914.584092000041,17,642.0461856617648,1.5575203502989243,93.45122101793547,1283.0126953125,1173.07470703125,5178.0,408,2072,360,1036,672,0.16451612903225807,0.8354838709677419,0.3474903474903475,408,2072,360,1036,672,0.16451612903225807,0.8354838709677419,0.3474903474903475
